tenant_id,envio_data,simulation_id,k_clusters,cluster,centro_lat,centro_lon,peso_total_kg,volumes_total,valor_total_nf,qde_ctes,created_at,cluster_cidade
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,67adb7d8-46a1-4f32-86a5-a15db73306a6,5,4,-4.321581546080359,-40.70904301350879,205.14,28,4404.98,6,2025-09-07 19:16:28.732559,Ipu
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,67adb7d8-46a1-4f32-86a5-a15db73306a6,5,3,-3.9154540771318036,-40.390476889431454,214.91,37,6281.42,7,2025-09-07 19:16:28.732559,Groaíras
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,67adb7d8-46a1-4f32-86a5-a15db73306a6,5,2,-3.5680299970702554,-41.0917269724128,216.57,18,3885.6400000000003,6,2025-09-07 19:16:28.732559,Viçosa do Ceará
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,67adb7d8-46a1-4f32-86a5-a15db73306a6,5,1,-4.405575349045638,-40.40310518391762,642.98,75,15106.699999999999,8,2025-09-07 19:16:28.732559,Hidrolândia
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,67adb7d8-46a1-4f32-86a5-a15db73306a6,5,0,-5.107452394594616,-38.37335395216589,89.3,11,1772.3,3,2025-09-07 19:16:28.732559,Morada Nova
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,895d2abd-23a4-4045-bdd1-11d6a7e4827f,13,9999,-3.85632,-38.4985,167.54,47,5949.93,11,2025-09-07 19:21:59.124031,HUB CENTRAL
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,895d2abd-23a4-4045-bdd1-11d6a7e4827f,13,9,-4.750335862651019,-40.83239179201825,1250.68,192,38388.26,26,2025-09-07 19:21:59.124031,Ararendá
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,895d2abd-23a4-4045-bdd1-11d6a7e4827f,13,8,-4.3319401097423045,-40.15308434217527,548.51,131,16796.52,24,2025-09-07 19:21:59.124031,Santa Quitéria
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,895d2abd-23a4-4045-bdd1-11d6a7e4827f,13,7,-2.890100062068123,-40.11587845559441,355.59000000000003,79,14623.439999999999,22,2025-09-07 19:21:59.124031,Acaraú
38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,895d2abd-23a4-4045-bdd1-11d6a7e4827f,13,6,-3.487209705502537,-39.57480740023913,1813.73,458,65130.49,37,2025-09-07 19:21:59.124031,Itapipoca
